stocks,std,rendimiento,riesgo,coeficiente_variacion,beta,alfa,Riesgo_sistematico,Riesgo_no_sistematico,sharpie,teynor
D,0.0217997389027793,-0.026002017380786,0.4889171647256444,-18.80304737765942,0.8699502235560242,-0.0007544206601023,0.4155910556449528,0.5844089443550471,-0.2080148227928469,-0.1169055592227645
DAL,0.0400024382793595,-0.2082931457566436,0.8971611445843314,-4.307204355310458,1.3848054552306597,-0.0018632148232263,0.3127408209881623,0.6872591790118376,-0.3165464169630552,-0.205078009105142
DD,0.0263821141937733,0.1046840357518163,0.5916891265813907,5.652142872903372,1.1704517511962926,-0.0004607783452839,0.513650609685567,0.486349390314433,0.048985243178758,0.0247631187891277
DE,0.0242951522294153,0.3467177414814931,0.5448834500980766,1.571547644980149,1.0903270007372756,0.0005596536403328,0.5255986643595566,0.4744013356404434,0.4973866272369093,0.2485655599634162
DFS,0.0411015004695438,0.15004013437263,0.921810539344448,6.143759756007005,1.8682933004737283,-0.0008031926475528,0.539206014223688,0.460793985776312,0.0806457847894618,0.0397903981959257
DG,0.0165336891520099,0.1774679714232013,0.3708119835153281,2.089458624796395,0.5019872183813514,0.0003284542081247,0.2405612934055333,0.7594387065944667,0.2744462853072669,0.2027302044688513
DGX,0.0206050813393898,0.2255686183346034,0.4621237892950799,2.0487060332549265,0.6818266252436799,0.000384703393265,0.2857453780111266,0.7142546219888735,0.3243040540354174,0.2198045848987512
DHI,0.0303766954920434,0.3420374428250198,0.6812782437412899,1.9918235796477397,1.222267251375224,0.0004423115690012,0.4225044273428781,0.5774955726571219,0.3909378367381997,0.2179044251781698
DHR,0.0182289846446596,0.3715000652677421,0.4088334969533981,1.1004937419290886,0.7472736733257592,0.0009148032794422,0.4385452125237679,0.5614547874762321,0.7235220877741816,0.3958390022644273
DIS,0.0243765819773433,0.026551408200395,0.5467097289199864,20.59061142044632,1.063890894939952,-0.000691057816583,0.4970825671404916,0.5029174328595084,-0.0898988790572594,-0.0461970226771975
DISCA,0.0337746181332983,-0.1550847615935184,0.7574857025153761,-4.884333539492213,0.8546866096471479,-0.0012552275479922,0.167114014841251,0.832885985158749,-0.3046721024926986,-0.2700226714547412
DISCK,0.033333077463122,-0.1361460773875435,0.7475829778297098,-5.491035747594065,0.8752553386049031,-0.0011954716316574,0.1799279706785276,0.8200720293214724,-0.2833746669868659,-0.242039171934914
